Integration Report
"No.","Type","Compound","Main Ion
 [M/Z]","R.Time
 [min.]","Expect.
 [min.]","St.Time
 [min.]","End Time
 [min.]","Height
","Area
 [a.u.*s]","QVal
","Flags"
1,"","Trimethylamine",58.0999984741211,0,1.60249443054202,0,0,0,0,0," "
2,"","2-Propenal",56.0999984741211,0,1.61184857686364,0,0,0,0,0," "
3,"","Ethyl alcohol",45.0999984741211,0,1.61886418660485,0,0,0,0,0," "
4,"","41",43.0999984741211,0,1.62626953125003,0,0,0,0,0," "
5,"","71",43.0999984741211,0,1.64965476989749,0,0,0,0,0," "
6,"","1",42.0999984741211,0,1.65160357157393,0,0,0,0,0," "
7,"","80",46.0999984741211,0,1.66056798299157,0,0,0,0,0," "
8,"","1,4-Pentadiene",67.0999984741211,0,1.66602452596032,0,0,0,0,0," "
9,"","Dimethyl sulfide",62,0,1.684342956543,0,0,0,0,0," "
10,"","2-Propenenitrile",53.0999984741211,0,1.68824055989587,0,0,0,0,0," "
11,"","1,3-Cyclopentadiene",66.0999984741211,0,1.70616925557458,0,0,0,0,0," "
12,"","2-Propen-1-ol",57.0999984741211,0,1.7225390116374,0,0,0,0,0," "
13,"","45",60,0,1.74241650899255,0,0,0,0,0," "
14,"","1-Propanol",59.0999984741211,0,1.74241650899255,0,0,0,0,0," "
15,"","Cyclopentene",67.0999984741211,0,1.74397544860843,0,0,0,0,0," "
16,"","Propanal, 2-methyl-",43.0999984741211,0,1.7478730519613,0,0,0,0,0," "
17,"","Propane, 2-methoxy-2-methyl-",73.0999984741211,0,1.76073493957523,0,0,0,0,0," "
18,"","Pentane, 2-methyl-",43.0999984741211,0,1.76073493957523,0,0,0,0,0," "
19,"","Methacrolein",41.0999984741211,0,1.76969935099287,0,0,0,0,0," "
20,"","2,3-Dihydrofuran",70.0999984741211,0,1.79113591512048,0,0,0,0,0," "
21,"","Pentane, 3-methyl-",57.0999984741211,0,1.79308458964034,0,0,0,0,0," "
22,"","2,3-Butanedione",43.0999984741211,0,1.80594660441084,0,0,0,0,0," "
23,"","1-Pentene, 2-methyl-",56.0999984741211,0,1.80945434570316,0,0,0,0,0," "
24,"","Butanal",44.0999984741211,0,1.81335194905603,0,0,0,0,0," "
25,"","2-Butanone",43.0999984741211,0,1.8293318430583,0,0,0,0,0," "
26,"","Acetic acid",43.0999984741211,0,1.83556798299157,0,0,0,0,0," "
27,"","2-Butanol",45.0999984741211,0,1.83946545918786,0,0,0,0,0," "
28,"","Furan, 2-methyl-",82.0999984741211,0,1.85349667867028,0,0,0,0,0," "
